Index	p_value	Fold_Change	type	-Log10P	Log2FC
Q8BP48	0.708000747	0.843549641	Insignificant	0.149966284	-0.245455124
Q8BP56	0.635984388	0.819221077	Insignificant	0.196553545	-0.287675261
Q8BP67	0.835290474	0.908036175	Insignificant	0.078162471	-0.139178321
Q8BP92	0.134006568	0.379190754	Insignificant	0.872873914	-1.39900431
Q8BPB0;Q921Y0	0.844749014	0.758661516	Insignificant	0.073272306	-0.398471738
Q8BPE4	0.597155032	0.880207322	Insignificant	0.223912904	-0.184084722
Q8BPG6	0.581476123	0.615900369	Insignificant	0.235468114	-0.699231102
Q8BPM0	0.931024787	0.787196853	Insignificant	0.031038757	-0.345203642
Q8BPN8	0.823390385	0.755293815	Insignificant	0.084394209	-0.404890122
Q8BPU7	0.539127123	0.357958507	Insignificant	0.268308819	-1.48213573
Q8BQ47	0.690288024	0.59880938	Insignificant	0.160969661	-0.739831273
Q8BRF7	0.773736366	0.905877897	Insignificant	0.111406991	-0.142611492
Q8BRH0	0.27942968	0.517008515	Insignificant	0.553727466	-0.951740053
Q8BRK8	0.889495798	1.178227949	Insignificant	0.050856099	0.236618681
Q8BS35	0.488952141	0.576475121	Insignificant	0.310733648	-0.794669749
Q8BS95	0.529640704	0.398265596	Insignificant	0.276018646	-1.328197237
Q8BSE0	0.659316594	1.18156992	Insignificant	0.180905994	0.240705004
Q8BSF4	0.110835784	0.734215047	Insignificant	0.955320002	-0.445725413
Q8BSL7	0.431940584	0.56002387	Insignificant	0.364575988	-0.836439775
Q8BSQ9	0.999469582	0.975699016	Insignificant	0.000230419	-0.035491922
Q8BSY0	0.10036913	0.739782223	Insignificant	0.998399842	-0.434827462
Q8BT60	0.5633422	0.91554495	Insignificant	0.249227714	-0.127297377
Q8BTE0	0.560415739	0.533849574	Insignificant	0.251489676	-0.905494813
Q8BTE5	0.587234909	2.748565747	Insignificant	0.231188135	1.45867899
Q8BTJ4	0.343313649	0.682322509	Insignificant	0.464308931	-0.551474284
Q8BTM8	0.452872056	0.541935261	Insignificant	0.344024476	-0.883807577
Q8BTR5	0.308315959	0.132787528	Insignificant	0.511003995	-2.912808441
