Index	p_value	Fold_Change	type	-Log10P	Log2FC
A0A0B4J1G0	0.233902588	0.479088968	Insignificant	0.630964974	-1.061634502
A0A0G2JDV3	0.462250637	0.271848555	Insignificant	0.335122482	-1.879124937
A0A140LIF8	0.381248858	0.196086218	Insignificant	0.418791448	-2.350439959
A0JNU3	0.459992764	1.002404135	Insignificant	0.337249	0.003464271
A1L314	0.38058899	0.352742691	Insignificant	0.419543779	-1.503311904
A2A432	0.276612366	0.448962003	Insignificant	0.558128409	-1.155334744
A2A4P0	0.630000611	1.041005711	Insignificant	0.20065903	0.057977983
A2A5R2	0.635377874	0.854968836	Insignificant	0.196967913	-0.22605626
A2A8L5	0.599953633	3.613433162	Insignificant	0.221882313	1.853370209
A2A8U2	0.466525835	0.610943353	Insignificant	0.331124301	-0.710889477
A2A8Z1	0.504273872	0.660129875	Insignificant	0.297333534	-0.599178204
A2A974	0.926083182	0.933183812	Insignificant	0.033350003	-0.099766814
A2AAJ9	0.708000747	1.000904316	Insignificant	0.149966284	0.001304062
A2AAY5	0.585213967	0.358531365	Insignificant	0.232685317	-1.479828761
A2ADY9	0.602005765	1.137847558	Insignificant	0.22039935	0.186307287
A2AGT5	0.777064003	1.254947823	Insignificant	0.109543209	0.327627382
A2AIL4	0.646516648	1.235143244	Insignificant	0.189420287	0.304678366
A2AJ88	0.959106573	0.762345807	Insignificant	0.018133133	-0.39148253
A2AJL3	0.858233225	1.080242653	Insignificant	0.066394677	0.111355418
A2AKG8	0.19376547	0.896126141	Insignificant	0.712723614	-0.158226271
A2AKK5	0.26293938	0.730080779	Insignificant	0.580144365	-0.453871996
A2AN08	0.219308415	0.914009681	Insignificant	0.658944703	-0.129718648
A2APY7	0.402910778	1.194330353	Insignificant	0.394791115	0.256201942
A2AQ07	0.603191635	1.454030541	Insignificant	0.21954469	0.540057572
A2AQ25	0.555043931	0.709702615	Insignificant	0.255672642	-0.494713473
A2AR02	0.345610732	0.919250082	Insignificant	0.46141278	-0.121470694
A2AS89	0.189973028	1.387461863	Insignificant	0.721308055	0.472448117
A2ASQ1	0.566794981	0.752935738	Insignificant	0.246574004	-0.409401357
A2ASZ8	0.045528836	1.258959369	Up	1.341713452	0.332231723
A2AT37	0.181278726	1.073850662	Insignificant	0.741653161	0.102793375
A2ATU0	0.004120429	1.028542182	Insignificant	2.38505757	0.040600962
A2AWA9	0.395056434	1.007980876	Insignificant	0.403340861	0.011468267
A2BDX3	0.858233225	0.795042209	Insignificant	0.066394677	-0.33089664
A2BE28	0.544065448	0.310467546	Insignificant	0.264348854	-1.687485626
A2BIM8;P02762;P04938	0.733869952	1.395510313	Insignificant	0.134380894	0.480792786
A2RSQ0	0.895336797	0.719919497	Insignificant	0.048013566	-0.474092505
A3KGB4	0.96935599	1.012381638	Insignificant	0.013516702	0.017753246
A3KMP2	0.407828092	1.077729581	Insignificant	0.389522862	0.107995229
A4FUP9	0.766558468	1.56030296	Insignificant	0.115454714	0.641826181
A4UUI3	0.205967734	0.711798907	Insignificant	0.686200809	-0.490458378
A6H584	0.552455284	0.872250005	Insignificant	0.257702868	-0.197186394
A6H611	0.798932143	1.050572088	Insignificant	0.097490106	0.07117516
A6H630	0.773148472	0.892324765	Insignificant	0.111737098	-0.164359215
A6H8H2	0.705079517	0.745237707	Insignificant	0.151761901	-0.424227422
A6X919	0.560456224	1.211467941	Insignificant	0.251458303	0.276756227
A6X935	0.527038322	0.731510231	Insignificant	0.278157805	-0.451050052
A7MCT6	0.615302558	0.755440433	Insignificant	0.21091128	-0.404610092
B1AR13	0.793464048	1.533691092	Insignificant	0.100472747	0.617007932
B1AXP6	0.123312935	1.173112725	Insignificant	0.908991367	0.23034165
B1AY13	0.605021591	0.702633367	Insignificant	0.218229127	-0.509156005
B1AZI6	0.426874764	0.710199254	Insignificant	0.369699519	-0.49370425
B1AZP2	0.459151866	0.306707557	Insignificant	0.338043646	-1.705064381
B2RQC6	0.327413652	0.734919311	Insignificant	0.484903215	-0.444342235
B2RR83	0.313829472	0.373232154	Insignificant	0.503306273	-1.421854814
B2RRE7	0.91792982	1.135202856	Insignificant	0.037190521	0.182950124
B2RSH2	0.498668326	0.614652378	Insignificant	0.302188216	-0.702157382
B2RX12	0.597221476	0.82028428	Insignificant	0.223864584	-0.285804115
B2RXC1	0.617879808	0.857914702	Insignificant	0.209095997	-0.221093879
B2RXS4	0.737581952	0.879782767	Insignificant	0.132189719	-0.184780752
B2RY56	0.388720972	0.655980029	Insignificant	0.410362028	-0.608276201
B7ZMP1	0.543631907	0.941183003	Insignificant	0.264695062	-0.087452828
B8JK39	0.517364762	0.699788663	Insignificant	0.286203154	-0.515008803
B9EJ80	0.635167153	0.651193787	Insignificant	0.197111969	-0.61884116
B9EJ86	0.57137192	0.867723074	Insignificant	0.243081107	-0.204693403
C0HKD8;C0HKD9	0.630000611	0.404528196	Insignificant	0.20065903	-1.30568783
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2	0.49518462	0.761406522	Insignificant	0.305232853	-0.393261166
C0HKG5;C0HKG6	0.97615146	1.013018079	Insignificant	0.010482792	0.018659921
C0HLV9	0.413121299	0.608762462	Insignificant	0.383922414	-0.716048695
D0QMC3	0.275308335	0.45320036	Insignificant	0.560180641	-1.141779086
D3YXF5	0.821656147	0.811892758	Insignificant	0.085309891	-0.300638919
D3YXK2	0.955985311	0.945277094	Insignificant	0.019548781	-0.081190798
D3Z4S3	0.839289478	1.077905385	Insignificant	0.076088221	0.108230548
D3Z6P0	0.498179111	0.203004022	Insignificant	0.302614487	-2.300419782
D3Z6Q9	0.275591411	0.582987788	Insignificant	0.559734321	-0.778462431
D3Z7P3	0.516758707	0.230218033	Insignificant	0.286712197	-2.118927251
E9PV24	0.50321145	0.841689172	Insignificant	0.298249485	-0.248640537
E9PVA8	0.937436898	1.0190408	Insignificant	0.028057957	0.027211814
E9PY61	0.77116036	1.011277117	Insignificant	0.112855303	0.016178388
E9PYK3	0.757453234	0.922980531	Insignificant	0.120644176	-0.115627878
E9PZJ8	0.145232897	0.589031883	Insignificant	0.837935	-0.763582369
E9Q0S6	0.804880678	0.91434136	Insignificant	0.094268498	-0.129195213
E9Q137	0.71827599	0.70000363	Insignificant	0.143708651	-0.514565691
E9Q236	0.796055674	0.827576522	Insignificant	0.099056558	-0.273035378
E9Q238	0.635167153	0.629484314	Insignificant	0.197111969	-0.667757666
E9Q394	0.596261154	0.435253433	Insignificant	0.224563484	-1.200072418
E9Q3C1	0.811626619	0.933340989	Insignificant	0.090643718	-0.09952384
E9Q3L2	0.650922685	1.045331387	Insignificant	0.186470593	0.063960373
E9Q414	0.119654879	0.820391727	Insignificant	0.922069589	-0.285615151
E9Q4Z2	0.027926569	0.789784553	Down	1.553982411	-0.340468943
E9Q555	0.218205566	0.584562796	Insignificant	0.661134175	-0.774570083
E9Q557	0.317121172	0.79573396	Insignificant	0.498774762	-0.329641924
E9Q5C9	0.269406045	0.505454959	Insignificant	0.569592663	-0.984345557
E9Q5K4	0.374833633	1.21583203	Insignificant	0.426161447	0.281943931
E9Q634	0.425356581	0.668172458	Insignificant	0.371246843	-0.581707579
E9Q6D8	0.289208481	0.827912238	Insignificant	0.538788975	-0.27245025
E9Q735	0.281828628	0.781565792	Insignificant	0.550014893	-0.35556077
E9Q7G0	0.423245187	0.709664067	Insignificant	0.373407972	-0.494791836
E9Q912	0.297390536	0.7056353	Insignificant	0.526672856	-0.503005359
E9QAM5	0.447000159	0.944110106	Insignificant	0.349692322	-0.082972972
E9QAT4	0.395433152	0.971575853	Insignificant	0.402926924	-0.041601461
F6ZDS4	0.693037926	0.907596049	Insignificant	0.159242998	-0.139877766
F8VPK0	0.836048676	0.942678859	Insignificant	0.077768437	-0.085161722
F8VPU2	0.465145574	1.369132042	Insignificant	0.332411107	0.453261589
G3X8U3	0.787390904	0.903976261	Insignificant	0.103809607	-0.145643208
G3X982	0.385122206	1.429562387	Insignificant	0.414401439	0.515573581
G3X9K3	0.400504866	0.777490048	Insignificant	0.397392203	-0.363103886
G5E829	0.066641998	0.673165133	Insignificant	1.176251992	-0.570967642
G5E870	0.529640704	0.825990391	Insignificant	0.276018646	-0.275803096
G5E872	0.719586639	1.82746837	Insignificant	0.142916909	0.869846436
G5E897	0.372943733	0.87983215	Insignificant	0.428356687	-0.184699774
G5E8K5	0.501976278	0.730871857	Insignificant	0.299316806	-0.452309613
G5E8V9	0.106290691	0.610954011	Insignificant	0.973504768	-0.710864308
O08528	0.211858671	0.467726621	Insignificant	0.673953757	-1.096262553
O08529	0.324621999	0.743269562	Insignificant	0.488622052	-0.428042565
O08539	0.706484076	0.887031641	Insignificant	0.150897622	-0.172942527
O08547	0.479072207	0.861403367	Insignificant	0.319599024	-0.215239131
O08553	0.372943733	0.728472254	Insignificant	0.428356687	-0.457054071
O08573	0.344624871	1.2289854	Insignificant	0.462653383	0.297467778
O08579	0.206178569	0.512084899	Insignificant	0.685756479	-0.965545078
O08582	0.679075993	0.631095483	Insignificant	0.168081623	-0.664069797
O08583	0.35624567	0.550768659	Insignificant	0.448250406	-0.860481629
O08585	0.742279622	1.499977978	Insignificant	0.129432462	0.58494132
O08586	0.585771043	0.780718987	Insignificant	0.232272101	-0.357124739
O08600	0.002532192	1.274779975	Up	2.596503385	0.350248262
O08601	0.032573187	0.946491363	Insignificant	1.487139744	-0.079338753
O08609	0.372943733	0.564456874	Insignificant	0.428356687	-0.825064734
O08638	0.524000134	0.619160537	Insignificant	0.280668602	-0.691614573
O08663	0.528606472	0.841995351	Insignificant	0.276867524	-0.248115827
O08664;Q921K9;Q9CXE2	0.86170331	0.320621063	Insignificant	0.064642239	-1.641058891
O08677	0.41652621	1.103937532	Insignificant	0.380357665	0.142658537
O08692	0.482571209	0.205388082	Insignificant	0.316438592	-2.283575627
O08705	0.80168763	0.70696534	Insignificant	0.095994817	-0.500288608
O08709	0.301379771	1.137794902	Insignificant	0.520885901	0.186240522
O08715	0.275591411	1.033584178	Insignificant	0.559734321	0.04765589
O08734	0.55776423	0.481512574	Insignificant	0.253549341	-1.054354621
O08738	0.502881815	0.987584427	Insignificant	0.298534069	-0.018024008
O08740	0.827782523	1.127036421	Insignificant	0.082083747	0.172534137
O08749	0.233615783	1.133199654	Insignificant	0.63149782	0.180402067
O08756	0.384474348	1.123883872	Insignificant	0.415132631	0.168492974
O08759	0.705601461	0.834061107	Insignificant	0.151440528	-0.261775009
O08788	0.481688544	0.786817277	Insignificant	0.317233682	-0.345899459
O08795	0.081083698	0.738019321	Insignificant	1.09106645	-0.438269508
O08807	0.350950235	0.732183476	Insignificant	0.454754462	-0.449722879
O08808	0.781382099	0.883183981	Insignificant	0.107136542	-0.179214091
O08810	0.41652621	0.830622214	Insignificant	0.380357665	-0.267735639
O08912	0.630000611	0.897458952	Insignificant	0.20065903	-0.15608214
O08914	0.610323838	0.89577909	Insignificant	0.214439667	-0.158785105
O08915	0.482034319	0.651961623	Insignificant	0.31692204	-0.617141052
O08917	0.609865303	0.88608131	Insignificant	0.214766074	-0.174489003
O08966	0.335248071	0.880283741	Insignificant	0.474633712	-0.183959473
O08992	0.58310604	0.335410507	Insignificant	0.23425246	-1.576000213
O08997	0.479581119	0.709218255	Insignificant	0.319137923	-0.495698423
O09005	0.864245448	0.83466084	Insignificant	0.063362899	-0.26073801
O09012	0.813563355	1.087283146	Insignificant	0.089608621	0.12072769
O09043	0.286722411	0.420644813	Insignificant	0.54253836	-1.249325541
O09044	0.585213967	1.370199882	Insignificant	0.232685317	0.454386366
O09061	0.176124462	0.845240805	Insignificant	0.754180321	-0.242565678
O09106	0.395056434	0.681361647	Insignificant	0.403340861	-0.553507353
O09110	0.319364714	0.752139883	Insignificant	0.49571307	-0.410927095
O09111	0.165717761	1.244858706	Insignificant	0.780630942	0.315982003
O09131	0.679075993	1.083323186	Insignificant	0.168081623	0.115463704
O09158	0.10036913	0.962258751	Insignificant	0.998399842	-0.055503208
O09159	0.101166351	0.762797863	Insignificant	0.994963916	-0.390627294
O09164	0.722704854	1.108673494	Insignificant	0.141039028	0.148834552
O09167	0.565540967	0.760595799	Insignificant	0.24753593	-0.394798124
O09172	0.760867841	0.936391942	Insignificant	0.118690771	-0.094815575
O09173	0.334415211	1.127232893	Insignificant	0.475713976	0.172785615
O09174	0.994088329	0.982638548	Insignificant	0.002575025	-0.025267259
O35071	0.675393491	1.296825892	Insignificant	0.170443129	0.374984801
O35074	0.287023972	0.396306268	Insignificant	0.54208183	-1.335312311
O35075	0.429232904	1.354562537	Insignificant	0.367306994	0.437827001
O35099	0.175298704	0.237884612	Insignificant	0.756221294	-2.071666143
O35114	0.048444251	0.977399887	Insignificant	1.31475775	-0.032979157
O35127	0.384385722	0.947645369	Insignificant	0.415232752	-0.077580825
O35129	0.11517272	1.175766966	Insignificant	0.938650376	0.23360215
O35166	0.472896047	0.850838669	Insignificant	0.325234316	-0.233042492
O35206	0.459151866	0.348021195	Insignificant	0.338043646	-1.522752922
O35215	0.005708813	1.085025126	Insignificant	2.243454184	0.117728452
O35218	0.963048206	1.10798832	Insignificant	0.016351974	0.147942673
O35226	0.770837212	0.902734049	Insignificant	0.113037328	-0.147627072
O35250	0.743610623	1.208965334	Insignificant	0.128654415	0.273772877
O35286	0.499245982	0.874609112	Insignificant	0.301685422	-0.193289716
O35295	0.929613906	1.173440147	Insignificant	0.031697388	0.230744257
O35309	0.275591411	0.632730646	Insignificant	0.559734321	-0.660336622
O35326	0.830507715	1.083433182	Insignificant	0.080656329	0.115610181
O35343	0.358602673	0.45140031	Insignificant	0.445386478	-1.147520686
O35344	0.903910766	0.90030523	Insignificant	0.043874441	-0.151513895
O35350	0.036617408	0.875177478	Insignificant	1.436312397	-0.192352482
O35381	0.38649951	0.799836062	Insignificant	0.412851052	-0.322223766
O35382	0.682805088	1.238945506	Insignificant	0.165703251	0.309112733
O35386	0.528606472	1.201182758	Insignificant	0.276867524	0.264455672
O35387	0.836048676	1.028615235	Insignificant	0.077768437	0.040703428
O35405	0.013682194	0.728782869	Down	1.863844244	-0.456439047
O35423	0.176124462	0.879078311	Insignificant	0.754180321	-0.185936404
O35435	0.847943961	1.344410066	Insignificant	0.071632849	0.42697325
O35448	0.760867841	1.031131252	Insignificant	0.118690771	0.044227984
O35453	0.555192752	1.90369785	Insignificant	0.255556212	0.928804516
O35459	0.843027705	1.046813191	Insignificant	0.074158153	0.066004009
O35465	0.766590135	1.056278867	Insignificant	0.115436774	0.078990769
O35488	0.05331658	0.908108403	Insignificant	1.273137714	-0.139063569
O35490	0.047482896	1.177070296	Insignificant	1.3234628	0.235200483
O35522;P28076	0.332486142	0.727772363	Insignificant	0.478226451	-0.458440829
O35593	0.646542835	0.910008059	Insignificant	0.189402697	-0.136048773
O35598	0.829692549	1.510305792	Insignificant	0.08108281	0.594840682
O35604	0.539018309	1.287272706	Insignificant	0.268396483	0.364317718
O35609	0.586408637	0.705566993	Insignificant	0.231799642	-0.503145023
O35623	0.961519967	1.336334486	Insignificant	0.017041693	0.418281161
O35632	0.140301866	1.570731507	Insignificant	0.852936553	0.651436595
O35638	0.350420725	0.765034952	Insignificant	0.455410216	-0.386402433
O35639	0.406069474	0.492107633	Insignificant	0.391399658	-1.0229542
O35643	0.759285289	0.919409812	Insignificant	0.119595015	-0.121220032
O35657	0.97587656	1.038826324	Insignificant	0.010605113	0.054954477
O35658	0.0200163	1.131801351	Insignificant	1.698616188	0.178620764
O35660	0.023259593	0.762152357	Down	1.633397887	-0.391848669
O35678	0.039286308	1.137477417	Insignificant	1.405758782	0.185837903
O35682	0.964521508	0.944059775	Insignificant	0.015688084	-0.083049885
O35683	0.38058899	0.866686846	Insignificant	0.419543779	-0.206417287
O35685	0.6613814	0.897019087	Insignificant	0.179548023	-0.156789412
O35691	0.12939313	0.969709806	Insignificant	0.88808878	-0.044375022
O35704	0.273488588	0.415240247	Insignificant	0.563060792	-1.267981812
O35711	0.29995168	0.832042972	Insignificant	0.522948702	-0.265270055
O35728	0.532708593	1.132192355	Insignificant	0.273510298	0.179119087
O35737	0.166536544	0.692367305	Insignificant	0.778490452	-0.530390495
O35744	0.549341218	0.306515796	Insignificant	0.260157814	-1.705966673
O35841	0.402877608	0.869296285	Insignificant	0.394826871	-0.202080115
O35855	0.770837212	0.348324333	Insignificant	0.113037328	-1.521496835
O35857	0.014179809	1.044926004	Insignificant	1.848329634	0.063400782
O35864	0.949100678	1.05224415	Insignificant	0.022687717	0.073469489
O35887	0.20930625	0.698354892	Insignificant	0.679217804	-0.517967719
O35892	0.691901531	0.657318126	Insignificant	0.159955708	-0.605336327
O35900	0.413653024	0.872844261	Insignificant	0.383363796	-0.196203834
O35943	0.937717996	0.883089071	Insignificant	0.027927749	-0.179369135
O35945	0.418601236	0.900941388	Insignificant	0.378199494	-0.150494842
O35955	0.560489956	0.857122547	Insignificant	0.251432166	-0.222426607
O35969	0.346580366	1.039463131	Insignificant	0.460196044	0.055838587
O35972	0.783896708	1.123298692	Insignificant	0.105741159	0.1677416
O35988	0.716305435	0.984110887	Insignificant	0.144901753	-0.023107211
O54692	0.399575832	0.657193091	Insignificant	0.398400787	-0.605610781
O54724	0.836093518	1.134020986	Insignificant	0.077745144	0.181447339
O54734	0.861737529	0.974965274	Insignificant	0.064624993	-0.03657726
O54749	0.02578564	1.22640649	Up	1.588622086	0.294437237
O54750	0.532708593	0.424835619	Insignificant	0.273510298	-1.235023364
O54754	0.02331319	0.937836467	Insignificant	1.632398305	-0.092591717
O54774	0.24127389	0.606511127	Insignificant	0.617489674	-0.721393983
O54782	0.883426866	1.024070363	Insignificant	0.053829397	0.034314845
O54824	0.693839604	0.800594504	Insignificant	0.158740914	-0.320856383
O54825	0.607073137	0.681065838	Insignificant	0.216758984	-0.554133826
O54833	0.676611614	0.873684415	Insignificant	0.169660552	-0.194815839
O54865	0.495701597	1.062801738	Insignificant	0.304779682	0.087872493
O54879	0.7851909	0.823058699	Insignificant	0.105024742	-0.280932771
O54890	0.465619543	1.238647417	Insignificant	0.3319688	0.30876558
O54909	0.836048676	1.112150334	Insignificant	0.077768437	0.153351816
O54931	0.876507117	0.845316827	Insignificant	0.057244553	-0.242435926
O54941	0.739888323	0.981775422	Insignificant	0.130833827	-0.026535044
O54946	0.705601461	1.570140494	Insignificant	0.151440528	0.650893655
O54950	0.727139334	0.944211895	Insignificant	0.138382362	-0.082817437
O54962	0.694562562	0.849047718	Insignificant	0.15828863	-0.236082456
O54984	0.133593541	0.767210639	Insignificant	0.87421454	-0.382305369
O54988	0.633663025	0.743876501	Insignificant	0.198141633	-0.426864972
O55003	0.723237988	0.790985886	Insignificant	0.14071877	-0.338276142
O55013	0.796135361	1.154595512	Insignificant	0.099013086	0.207387523
O55022	0.69830353	0.856846441	Insignificant	0.155955762	-0.22289142
O55023	0.306001789	0.915521022	Insignificant	0.514276034	-0.127335082
O55028	0.347496815	2.187322102	Insignificant	0.459049172	1.129165685
O55029	0.31485172	0.826368054	Insignificant	0.50189393	-0.275143613
O55060	0.874439295	1.08193756	Insignificant	0.058270334	0.113617242
O55071	0.111400827	1.008707659	Insignificant	0.953111584	0.012508117
O55091	0.58310604	0.527525546	Insignificant	0.23425246	-0.922687134
O55098	0.145675512	0.665299418	Insignificant	0.836613446	-0.587924323
O55102	0.510484802	0.609506973	Insignificant	0.292017183	-0.714285369
O55106	0.37067038	0.641342212	Insignificant	0.431012117	-0.64083373
O55111	0.636045639	0.918200872	Insignificant	0.196511721	-0.123118293
O55125	0.06498791	1.285103401	Insignificant	1.187167427	0.361884446
O55126	0.641997184	0.732695184	Insignificant	0.192466877	-0.448714962
O55128	0.63488355	1.185904628	Insignificant	0.197305926	0.245987991
O55131	0.770837212	0.937933555	Insignificant	0.113037328	-0.092442371
O55135	0.632438656	0.849420944	Insignificant	0.198981593	-0.235448414
O55137	0.532663998	1.010586761	Insignificant	0.273546656	0.015193185
O55142	0.295450449	0.723791244	Insignificant	0.529515345	-0.466354439
O55143	0.464638729	0.873100615	Insignificant	0.332884594	-0.195780177
O55201	0.591523578	1.029522178	Insignificant	0.22802794	0.041974909
O55222	0.514758621	1.081608925	Insignificant	0.288396371	0.113178961
O55229	0.796055674	0.831118498	Insignificant	0.099056558	-0.266873909
O55234	0.464638729	1.324859336	Insignificant	0.332884594	0.405839193
O55239	0.347418183	0.882183178	Insignificant	0.459147456	-0.180849844
O55242	0.700143672	1.037214335	Insignificant	0.154812832	0.05271405
O70131	0.841544021	1.560070107	Insignificant	0.074923161	0.641610863
O70133	0.158706919	0.830226187	Insignificant	0.799404139	-0.268423657
O70145	0.371586595	0.123446298	Insignificant	0.429939962	-3.018044525
O70152	0.376488699	0.799235518	Insignificant	0.424248055	-0.323307397
O70165	0.992006606	1.104898754	Insignificant	0.003485436	0.143914176
O70172	0.076005989	0.524436807	Insignificant	1.119152184	-0.931159151
O70194	0.018030915	0.800533875	Down	1.743982241	-0.320965642
O70200	0.275308335	0.310546894	Insignificant	0.560180641	-1.687116957
O70228	0.257549818	0.41542563	Insignificant	0.589138753	-1.267337868
O70250	0.97587656	0.862020322	Insignificant	0.010605113	-0.214206213
O70251	0.599953633	0.909435733	Insignificant	0.221882313	-0.136956404
O70252	0.760867841	0.932516069	Insignificant	0.118690771	-0.100799509
O70274	0.43053811	2.228511165	Insignificant	0.3659884	1.156080189
O70305	0.918912811	1.150516288	Insignificant	0.036725694	0.202281409
O70310	0.125594571	0.711863571	Insignificant	0.901029132	-0.490327321
O70311	0.800653702	1.005921434	Insignificant	0.096555284	0.00851763
O70318	0.637267177	0.797371366	Insignificant	0.19567845	-0.326676297
O70325	0.145232897	0.493611181	Insignificant	0.837935	-1.018553021
O70362	0.389824233	0.908858764	Insignificant	0.409131167	-0.137871977
O70370	0.43126087	0.424479613	Insignificant	0.365259945	-1.236232829
O70378	0.527038322	0.862716276	Insignificant	0.278157805	-0.213041921
O70400	0.505652314	0.706021094	Insignificant	0.296148001	-0.502216808
O70404	0.467318096	0.216529641	Insignificant	0.330387401	-2.207363565
O70435	0.409691388	0.94449924	Insignificant	0.387543165	-0.082378459
O70439	0.196211372	0.82358069	Insignificant	0.707275826	-0.280018091
O70451	0.991087661	0.769376529	Insignificant	0.003887931	-0.378238277
O70475	0.093609568	0.767996873	Insignificant	1.02867976	-0.380827659
O70492	0.949477972	1.054468241	Insignificant	0.022515107	0.076515643
O70493	0.297737658	0.681772911	Insignificant	0.526166232	-0.552636817
O70503	0.123312935	0.785626342	Insignificant	0.908991367	-0.348084791
O70566	0.421004823	0.708039527	Insignificant	0.375712929	-0.498098193
O70570	0.293907578	1.094624965	Insignificant	0.531789216	0.130436665
O70571	0.43012983	0.766816062	Insignificant	0.366400437	-0.383047539
O70572	0.597155032	0.794107845	Insignificant	0.223912904	-0.332593147
O70579	0.876507117	0.895589543	Insignificant	0.057244553	-0.159090412
O70585	0.73353708	0.665771836	Insignificant	0.134577928	-0.586900254
O70589	0.542157054	0.798829542	Insignificant	0.265874887	-0.324040408
O70591	0.43053811	0.687457493	Insignificant	0.3659884	-0.540657584
O88271	0.770837212	1.086541676	Insignificant	0.113037328	0.119743512
O88322	0.106811389	0.71051053	Insignificant	0.971382439	-0.493072064
O88342	0.12939313	0.73408955	Insignificant	0.88808878	-0.44597203
O88343	0.261085717	0.803790918	Insignificant	0.583216887	-0.315107818
O88351	0.967982145	0.996296005	Insignificant	0.014132653	-0.005353656
O88384	0.55452097	0.649333504	Insignificant	0.256082026	-0.622968443
O88396	0.780827592	1.037847304	Insignificant	0.107444848	0.053594198
O88425	0.479581119	0.374702218	Insignificant	0.319137923	-1.416183579
O88428	0.010410609	1.076485709	Insignificant	1.982523846	0.106329168
O88441	0.418601236	1.301721723	Insignificant	0.378199494	0.380421067
O88447	0.82692178	0.761554174	Insignificant	0.082535569	-0.392981427
O88451	0.327413652	0.903073326	Insignificant	0.484903215	-0.147084961
O88455	0.037122284	0.817682391	Down	1.430365314	-0.290387522
O88456	0.283919935	0.839798736	Insignificant	0.546804113	-0.251884478
O88487	0.505656674	0.725750026	Insignificant	0.296144256	-0.462455376
O88508	0.291906635	0.157159637	Insignificant	0.534756034	-2.669697358
O88520	0.36827291	2.466953994	Insignificant	0.433830227	1.302730811
O88522	0.523835284	0.616790941	Insignificant	0.280805252	-0.697146519
O88531	0.211858671	0.774595136	Insignificant	0.673953757	-0.368485653
O88532	0.690288024	0.519197767	Insignificant	0.160969661	-0.945643916
O88533	0.525928859	1.11100757	Insignificant	0.279072998	0.151868647
O88543	0.894124512	0.987620585	Insignificant	0.048601999	-0.017971189
O88544	0.67108217	0.975499917	Insignificant	0.1732243	-0.035786345
O88545	0.291906635	0.997439051	Insignificant	0.534756034	-0.003699407
O88569	0.692894745	0.915389565	Insignificant	0.159332733	-0.127542249
O88587	0.937717996	1.02503784	Insignificant	0.027927749	0.035677168
O88630	0.627307987	2.525036797	Insignificant	0.202519183	1.336304412
O88653	0.130462819	1.081647217	Insignificant	0.88451324	0.113230035
O88668	0.650188446	0.865601256	Insignificant	0.186960752	-0.208225502
O88685	0.592893543	0.884725498	Insignificant	0.227023279	-0.176698192
O88696	0.711733577	1.125046451	Insignificant	0.147682545	0.169984568
O88697	0.405694288	0.835316135	Insignificant	0.391801107	-0.25960579
O88712	0.890171577	0.997291253	Insignificant	0.050526277	-0.003913198
O88736	0.534924798	0.914052893	Insignificant	0.271707269	-0.129650444
O88738	0.56153797	0.820249483	Insignificant	0.250620873	-0.285865315
O88746	0.541608393	0.83032734	Insignificant	0.266314614	-0.268247892
O88783	0.542157054	0.926759921	Insignificant	0.265874887	-0.109732441
O88792	0.625040475	0.627513115	Insignificant	0.204091859	-0.672282484
O88811	0.761015032	0.719428624	Insignificant	0.118606765	-0.475076534
O88822	0.874448303	1.174620354	Insignificant	0.058265861	0.232194542
O88829	0.937436898	1.11075032	Insignificant	0.028057957	0.151534557
O88833	0.106005628	1.473154244	Insignificant	0.974671077	0.558908493
O88843	0.706484076	0.68982721	Insignificant	0.150897622	-0.535693059
O88844	0.87147396	1.028420477	Insignificant	0.059745585	0.040430241
O88851	0.852954253	1.066034729	Insignificant	0.069074261	0.092254439
O88876	0.426874764	1.408803641	Insignificant	0.369699519	0.494470543
O88908	0.949021339	0.978494055	Insignificant	0.022724022	-0.031365009
O88939	0.566521303	0.485704024	Insignificant	0.246783755	-1.041850656
O88947	0.350420725	1.35711594	Insignificant	0.455410216	0.440543977
O88952	0.942999229	1.013398537	Insignificant	0.025488662	0.019201651
O88958	0.697717284	0.81315426	Insignificant	0.156320519	-0.298399029
O88962	0.371586595	2.01197921	Insignificant	0.429939962	1.008615398
O88967	0.445519626	0.769157433	Insignificant	0.35113316	-0.378649173
O88983	0.72880934	0.747816714	Insignificant	0.13738607	-0.419243378
O88986	0.027484516	1.200646123	Up	1.560911911	0.263810995
O89017	0.124053818	0.952545425	Insignificant	0.906389866	-0.070140201
O89020	0.912582935	0.905893599	Insignificant	0.039727657	-0.142586485
O89023	0.401503368	0.81207249	Insignificant	0.396310808	-0.300319579
O89050	0.716244357	0.874193503	Insignificant	0.144938786	-0.193975439
O89051	0.938279585	0.849261005	Insignificant	0.027667733	-0.235720087
O89053	0.41175275	0.221229464	Insignificant	0.385363491	-2.176384551
O89079	0.183866578	1.096576872	Insignificant	0.735497207	0.133006951
O89086	0.534230519	0.593965385	Insignificant	0.272271306	-0.751549238
O89106	0.124607397	0.794664182	Insignificant	0.904456176	-0.331582776
O89110	0.29254232	0.683292036	Insignificant	0.533811299	-0.549425784
O89112	0.991163849	0.985318339	Insignificant	0.003854546	-0.021338185
