Index	p_value	Fold_Change	type	-Log10P	Log2FC	
Q61247	0.856778503	0.763478628	Insignificant	0.067131439	-0.389340323	
Q9DCV7	0.869078556	0.763504108	Insignificant	0.060940966	-0.389292176	
Q9CQP0	0.507295447	0.763882674	Insignificant	0.294739036	-0.388577026	
P47934	0.026900893	0.764149308	Down	1.570233309	-0.388073539	
O55071	0.145168053	0.764233062	Insignificant	0.838128948	-0.387915422	
Q9R112	0.33527779	0.764291683	Insignificant	0.474595215	-0.387804763	
P32067	0.385218569	0.76475699	Insignificant	0.414292786	-0.386926706	
Q9D020	0.654750841	0.764820269	Insignificant	0.183923935	-0.386807337	
Q9D379	0.044625524	0.76492579	Down	1.350416672	-0.386608305	
P41241	0.464006459	0.764959856	Insignificant	0.333475974	-0.386544055	
Q8CIN4	0.715411842	0.765003313	Insignificant	0.145443875	-0.386462099	
Q8VBV7	0.491352238	0.766293997	Insignificant	0.308607061	-0.384030091	
Q9CPP0	0.851374272	0.766327335	Insignificant	0.069879478	-0.383967328	
P97333	0.630819526	0.766454221	Insignificant	0.200094872	-0.383728471	
Q9CQS2	0.601281122	0.766781142	Insignificant	0.220922431	-0.383113239	
P70670;Q60817	0.130841581	0.767064136	Insignificant	0.883254218	-0.382580885	
Q3UHD6	0.484987773	0.767068231	Insignificant	0.31426921	-0.382573182	
Q9Z2U1	0.400623811	0.767381245	Insignificant	0.397263242	-0.381984589	
Q99KQ4	0.14264986	0.767488732	Insignificant	0.845728652	-0.381782525	
Q8R3G1	0.929245608	0.767556235	Insignificant	0.031869483	-0.381655641	
Q9CXF4	0.414586678	0.767736243	Insignificant	0.382384657	-0.38131734	
P54823	0.345715065	0.767765711	Insignificant	0.461281696	-0.381261965	
Q8BKC5	0.117234726	0.768036374	Insignificant	0.930943728	-0.380753457	
Q80X90	0.189189086	0.768257347	Insignificant	0.72310392	-0.380338436	
P57759	0.020502949	0.768393123	Down	1.688183669	-0.380083489	
Q7TMM9	0.405014985	0.768438912	Insignificant	0.392528909	-0.379997518	
Q8BML9	0.269534891	0.768821877	Insignificant	0.569385008	-0.379278706	
P52432	0.80231224	0.768943994	Insignificant	0.095656582	-0.379049571	
Q8BGU5	0.763445161	0.768991907	Insignificant	0.117222153	-0.37895968	
P20060	0.344963335	0.769139071	Insignificant	0.462227062	-0.378683614	
Q91W90	0.099818569	0.769300993	Insignificant	1.000788663	-0.378379924	
Q6PCP5	0.415615486	0.76955463	Insignificant	0.381308279	-0.37790435	
Q922R8	0.078064027	0.769659827	Insignificant	1.10754905	-0.377707148	
Q9QZ23	0.099449946	0.769765994	Insignificant	1.002395447	-0.377508157	
Q08761	0.603572973	0.769772594	Insignificant	0.219270216	-0.377495787	
Q8K2H2	0.92189847	0.769928338	Insignificant	0.035316906	-0.377203924	
Q921W0	0.610428941	0.770018676	Insignificant	0.214364884	-0.377034657	
P54728	0.28321821	0.770092898	Insignificant	0.547878827	-0.376895602	
O70400	0.542720099	0.770365537	Insignificant	0.265424094	-0.376384931	
Q6P6M7	0.344963335	0.770566794	Insignificant	0.462227062	-0.376008077	
