Index	p_value	Fold_Change	type	-Log10P	Log2FC	
P51807	0.167974152	0.02237305	Insignificant	0.774757544	-5.482094236	
Q9QXH4	0.66163927	0.028053026	Insignificant	0.179378726	-5.155699781	
Q9DBS9	0.282917443	0.03214504	Insignificant	0.548340276	-4.959260065	
C0HKD8;C0HKD9	0.534886946	0.039612133	Insignificant	0.271738001	-4.657913801	
Q91VU7	0.571279115	0.052258982	Insignificant	0.243151653	-4.258177172	
Q8BWR8	0.302765685	0.05301846	Insignificant	0.518893348	-4.237361432	
P97425;P97426	0.578912116	0.060635063	Insignificant	0.237387361	-4.043703895	
Q99NH0	0.355664273	0.066414199	Insignificant	0.448959758	-3.912364471	
Q3TBT3	0.273032651	0.066533498	Insignificant	0.563785415	-3.909775296	
P27005	0.609341149	0.071028914	Insignificant	0.215139493	-3.815449771	
Q99P91	0.649523489	0.071970715	Insignificant	0.187405138	-3.796446207	
P07091	0.594834502	0.074052535	Insignificant	0.225603849	-3.755307074	
O70145	0.39238453	0.081324108	Insignificant	0.406288124	-3.620173095	
Q8K2V6	0.734480883	0.082481093	Insignificant	0.134019503	-3.599792738	
P14069	0.618515949	0.088327744	Insignificant	0.208649097	-3.500989527	
P20065	0.284399698	0.093748289	Insignificant	0.546070869	-3.415063836	
Q8CBA2	0.347041693	0.096974223	Insignificant	0.459618347	-3.366254872	
P97369	0.331197677	0.09817631	Insignificant	0.479912718	-3.348481246	
P31725	0.571670189	0.100546205	Insignificant	0.242854454	-3.314069464	
B2RSH2	0.381277261	0.101085557	Insignificant	0.418759095	-3.306351217	
P11672	0.447695254	0.101778136	Insignificant	0.349017509	-3.296500418	
P63168	0.291771371	0.10402381	Insignificant	0.534957324	-3.265014305	
Q9Z183	0.679624439	0.10427004	Insignificant	0.167731012	-3.261603409	
P49290	0.625724418	0.106027791	Insignificant	0.203616897	-3.237485641	
Q3UP87	0.657361965	0.106287583	Insignificant	0.182195428	-3.233955035	
Q504P2	0.572068164	0.107708985	Insignificant	0.242552221	-3.214789485	
Q91YR5	0.680580273	0.109767062	Insignificant	0.167120643	-3.187482886	
P11928	0.149513354	0.110493828	Insignificant	0.825320015	-3.177962304	
Q9DCJ1	0.432702028	0.111586407	Insignificant	0.363811069	-3.163766802	
P04231;P18468;P20040	0.2262886	0.111975798	Insignificant	0.645337325	-3.158741143	
Q61420	0.13931943	0.122331769	Insignificant	0.855988312	-3.031128979	
P04247	0.571670189	0.128738811	Insignificant	0.242854454	-2.957481045	
Q8R2T8	0.534886946	0.128904413	Insignificant	0.271738001	-2.955626441	
P51437	0.594120203	0.129591592	Insignificant	0.226125679	-2.947955974	
Q8K124	0.403113541	0.130822323	Insignificant	0.394572613	-2.93431936	
P59764	0.324147455	0.132271071	Insignificant	0.489257384	-2.918430531	
Q8R001	0.243138504	0.132726613	Insignificant	0.61414626	-2.91347042	
P52482;P52483;Q91W82	0.640248274	0.134584318	Insignificant	0.193651584	-2.893417781	
Q62230	0.294069902	0.13529609	Insignificant	0.531549424	-2.885807952	
Q8BH97	0.170576778	0.135701713	Insignificant	0.768080094	-2.881489162	
Q91VE6	0.570281234	0.136249509	Insignificant	0.243910919	-2.875677061	
Q9EQ61	0.23768571	0.137232356	Insignificant	0.623996928	-2.865307427	
P30355	0.658149868	0.138064976	Insignificant	0.181675201	-2.856580705	
Q9D3N8	0.651917009	0.138388444	Insignificant	0.185807688	-2.853204623	
P07310	0.347647096	0.139972474	Insignificant	0.458861394	-2.836784951	
O55091	0.444291956	0.140279502	Insignificant	0.35233155	-2.833623876	
P70248	0.398523352	0.143329322	Insignificant	0.399546226	-2.802594314	
P05555	0.516644056	0.144239198	Insignificant	0.286808563	-2.793464812	
P97471	0.464006459	0.144348808	Insignificant	0.333475974	-2.792368903	
Q9D4H2	0.320462794	0.146468262	Insignificant	0.494222386	-2.771340015	
P11404	0.512838181	0.146758311	Insignificant	0.290019649	-2.768485888	
P16110	0.534464656	0.148500376	Insignificant	0.272081009	-2.75146151	
P11247	0.594896878	0.149884312	Insignificant	0.22555831	-2.738078706	
Q91Z67	0.443998162	0.153202216	Insignificant	0.352618827	-2.706490934	
O08692	0.491352238	0.154608409	Insignificant	0.308607061	-2.69330931	
Q9DBR0	0.570281234	0.154756905	Insignificant	0.243910919	-2.691924315	
Q8R5L3	0.335933289	0.155046235	Insignificant	0.473746958	-2.689229605	
P28571	0.14207649	0.155757638	Insignificant	0.847477779	-2.682625186	
P35822	0.461911502	0.160522512	Insignificant	0.335441223	-2.639152458	
Q6VNB8	0.472842496	0.164723885	Insignificant	0.325283499	-2.60187833	
Q64449	0.715441468	0.170255931	Insignificant	0.145425891	-2.554223037	
C0HLV9	0.372682908	0.176230773	Insignificant	0.428660524	-2.504462228	
P41245	0.731948973	0.178696876	Insignificant	0.135519194	-2.484413681	
Q6NXH9	0.099579786	0.178935587	Insignificant	1.001828811	-2.482487753	
Q61285	0.416980162	0.179285247	Insignificant	0.379884606	-2.479671316	
P70271	0.045118678	0.18039482	Down	1.345643637	-2.470770185	
P14434;P14438	0.507170315	0.181605296	Insignificant	0.294846174	-2.461121816	
Q6ZWY8	0.234467041	0.182690463	Insignificant	0.629918197	-2.452526776	
Q8BFU3	0.267769352	0.182973582	Insignificant	0.572239133	-2.450292731	
Q9CPS7	0.519379986	0.183005973	Insignificant	0.28451479	-2.450037359	
P50543	0.457454386	0.183921904	Insignificant	0.339652204	-2.442834785	
Q8R1J9	0.244394102	0.183988505	Insignificant	0.61190928	-2.442312462	
Q8BH61	0.51578192	0.186663228	Insignificant	0.287533886	-2.421490347	
P70429	0.179292534	0.192133416	Insignificant	0.746437794	-2.379819643	
P17809	0.482226702	0.200286629	Insignificant	0.316748745	-2.319861981	
Q99JH1	0.2262886	0.202447916	Insignificant	0.645337325	-2.304377303	
A6H584	0.435041777	0.204367644	Insignificant	0.361469036	-2.290761291	
Q923S9	0.546233735	0.206260018	Insignificant	0.262621481	-2.2774639	
P12791	0.234467041	0.206891133	Insignificant	0.629918197	-2.273056277	
Q8BMZ5	0.302765685	0.208428823	Insignificant	0.518893348	-2.262373297	
Q80X41	0.318440807	0.209249168	Insignificant	0.496971284	-2.256706205	
Q9D8Y7	0.725443522	0.209329757	Insignificant	0.139396393	-2.256150682	
Q6SKR2	0.46968434	0.209590528	Insignificant	0.32819392	-2.254354577	
Q9DCE5	0.099449946	0.214311269	Insignificant	1.002395447	-2.222220381	
P43276	0.402719113	0.214794662	Insignificant	0.394997759	-2.218969957	
Q8BS95	0.522932134	0.221113249	Insignificant	0.28155467	-2.17714262	
P01831	0.66163927	0.221911899	Insignificant	0.179378726	-2.171941068	
P98192	0.524155137	0.222469258	Insignificant	0.280540153	-2.168322104	
Q8R550	0.71229279	0.224381661	Insignificant	0.147341451	-2.155973329	
Q8K003	0.442635577	0.22577537	Insignificant	0.353953683	-2.147039983	
Q99M15	0.196537885	0.226563025	Insignificant	0.706553722	-2.142015663	
A2AQ25	0.455046469	0.227847171	Insignificant	0.341944252	-2.133861637	
O89053	0.447695254	0.232466826	Insignificant	0.349017509	-2.10490324	
P12246	0.459549961	0.233737808	Insignificant	0.337667266	-2.097036978	
Q99MR3	0.116763342	0.236352746	Insignificant	0.932693482	-2.080986471	
Q61599	0.524968573	0.236532987	Insignificant	0.279866694	-2.079886699	
Q8BMQ2	0.441983496	0.23765094	Insignificant	0.354593947	-2.073083987	
Q9Z1Y4	0.796646122	0.240633341	Insignificant	0.098734554	-2.055091544	
P35601	0.163942992	0.242515101	Insignificant	0.785307142	-2.043853509	
Q9Z266	0.398523352	0.242629312	Insignificant	0.399546226	-2.043174244	
Q9R0T8	0.695021068	0.243442554	Insignificant	0.15800203	-2.038346721	
Q99J87	0.292439939	0.244438683	Insignificant	0.533963315	-2.03245548	
Q3UHJ0	0.319416398	0.246352507	Insignificant	0.495642792	-2.021203941	
Q8BG18	0.376560883	0.247205162	Insignificant	0.424164797	-2.016219225	
Q8BH51	0.534886946	0.248027907	Insignificant	0.271738001	-2.011425642	
Q3TGF2	0.555739026	0.24854566	Insignificant	0.255129104	-2.008417182	
Q9D975	0.480432303	0.249322653	Insignificant	0.318367799	-2.003914124	
Q60963	0.603405844	0.249541161	Insignificant	0.219390488	-2.002650293	
Q9DCL2	0.600019545	0.250064212	Insignificant	0.221834603	-1.999629493	
P24452	0.420270061	0.251174044	Insignificant	0.376471547	-1.993240708	
P32037	0.684076371	0.25459086	Insignificant	0.164895411	-1.973747468	
Q8CDA1	0.385218569	0.254976152	Insignificant	0.414292786	-1.971565775	
Q8VC88	0.01769369	0.257591856	Down	1.752181583	-1.956841114	
Q08024	0.27078371	0.258202605	Insignificant	0.567377465	-1.953424537	
P03976	0.70535554	0.259795281	Insignificant	0.151591918	-1.944552869	
Q8C0J6	0.801851003	0.260400434	Insignificant	0.095906323	-1.94119624	
Q3TIR1	0.625724418	0.260470584	Insignificant	0.203616897	-1.940807641	
P14483	0.486799279	0.260651101	Insignificant	0.312650074	-1.939808141	
Q8VCH7	0.495577877	0.261179042	Insignificant	0.304888089	-1.936888959	
Q9Z210	0.745370842	0.262463618	Insignificant	0.1276276	-1.929810643	
Q05144	0.504269112	0.263353575	Insignificant	0.297337633	-1.92492705	
Q9WVF8	0.796646122	0.264303489	Insignificant	0.098734554	-1.919732627	
P25085	0.486799279	0.266374142	Insignificant	0.312650074	-1.908474051	
P97363	0.165606637	0.267612625	Insignificant	0.780922262	-1.901781918	
P06795	0.515168963	0.267762076	Insignificant	0.288050309	-1.900976454	
Q9D3P8	0.200718443	0.27008111	Insignificant	0.697412721	-1.888535354	
Q9JKB3	0.351063484	0.270734152	Insignificant	0.454614342	-1.885051206	
Q8BGR2	0.718502889	0.271419122	Insignificant	0.143571481	-1.881405732	
Q60738	0.376560883	0.271789803	Insignificant	0.424164797	-1.879436765	
Q0VBL3	0.608038516	0.272366474	Insignificant	0.21606891	-1.876378962	
P08071	0.512825631	0.272521895	Insignificant	0.290030277	-1.875555951	
Q9CR63	0.46879586	0.272876469	Insignificant	0.329016233	-1.873680105	
B2RR83	0.349241641	0.273201476	Insignificant	0.45687398	-1.871962816	
Q8BTE0	0.401972781	0.273308999	Insignificant	0.395803354	-1.871395134	
A2AAY5	0.601281122	0.276941212	Insignificant	0.220922431	-1.852348335	
P63260	0.597265546	0.278727024	Insignificant	0.223832537	-1.843075207	
Q9JJX6	0.489221747	0.279338817	Insignificant	0.310494246	-1.839912028	
Q5SUA5	0.591087347	0.279807257	Insignificant	0.228348337	-1.837494713	
Q9JHK5	0.51852993	0.280561264	Insignificant	0.28522617	-1.83361226	
Q9ER69	0.130656987	0.280942649	Insignificant	0.88386736	-1.831652444	
P00688	0.627854698	0.281305268	Insignificant	0.202140852	-1.829791523	
Q9D1J1	0.470360545	0.282144327	Insignificant	0.327569115	-1.825494753	
Q7TPD0	0.363706882	0.282238147	Insignificant	0.439248481	-1.825015103	
P62700	0.423364074	0.284826628	Insignificant	0.373285998	-1.811844065	
Q9Z130	0.074075955	0.287097798	Insignificant	1.130322738	-1.800385832	
Q8BYI6	0.176275968	0.287641733	Insignificant	0.753806891	-1.797655088	
Q91XB0	0.372682908	0.290555801	Insignificant	0.428660524	-1.783112837	
Q8BYA0	0.334937195	0.29162153	Insignificant	0.475036622	-1.77783086	
Q9D8Z2	0.402719113	0.293095901	Insignificant	0.394997759	-1.770555301	
B1AZP2	0.516644056	0.293326519	Insignificant	0.286808563	-1.769420587	
P24063	0.162297932	0.293864525	Insignificant	0.789687014	-1.766776884	
P28293	0.682495873	0.29609941	Insignificant	0.16589997	-1.75584648	
Q3U9G9	0.641054019	0.296704225	Insignificant	0.193105373	-1.752902626	
Q793I8	0.411081038	0.299112985	Insignificant	0.386072555	-1.741237553	
Q8R2Q8	0.33224253	0.299751842	Insignificant	0.478544775	-1.738159475	
Q9JI48	0.413011719	0.30263981	Insignificant	0.384037625	-1.724326318	
Q8BPU7	0.523446238	0.303767491	Insignificant	0.281127917	-1.718960612	
P10107	0.594896878	0.304196357	Insignificant	0.22555831	-1.716925217	
P08103	0.352194828	0.305295226	Insignificant	0.453217026	-1.711723067	
P49710	0.221121594	0.305408619	Insignificant	0.655368843	-1.711187316	
O55098	0.154135956	0.306429167	Insignificant	0.812096039	-1.706374471	
Q9JL62	0.405014985	0.306435807	Insignificant	0.392528909	-1.706343208	
Q9QXG2	0.373825547	0.307659803	Insignificant	0.427331023	-1.700592131	
Q6PHQ8	0.345715065	0.308031915	Insignificant	0.461281696	-1.698848258	
Q8BKS9	0.443998162	0.308247303	Insignificant	0.352618827	-1.697839821	
O54824	0.453795265	0.308509701	Insignificant	0.34314004	-1.696612239	
P10810	0.66163927	0.309080423	Insignificant	0.179378726	-1.693945815	
P21550	0.5804594	0.30980905	Insignificant	0.236228151	-1.690548806	
Q8C3J5	0.317291263	0.311388487	Insignificant	0.498541887	-1.683212488	
Q9EPB4	0.402092697	0.311750544	Insignificant	0.395673815	-1.681536019	
Q925B0	0.452873585	0.311753984	Insignificant	0.34402301	-1.681520099	
Q8K327	0.464006459	0.313054781	Insignificant	0.333475974	-1.675512959	
Q5SUF2	0.441983496	0.313068862	Insignificant	0.354593947	-1.675448069	
O35704	0.284399698	0.313345441	Insignificant	0.546070869	-1.674174093	
Q9CZR2	0.159207994	0.313649365	Insignificant	0.798035131	-1.672775454	
Q9DC48	0.359403006	0.317320404	Insignificant	0.444418295	-1.655987803	
P08905	0.516644056	0.320359648	Insignificant	0.286808563	-1.642235654	
P29699	0.507170315	0.32146721	Insignificant	0.294846174	-1.637256504	
Q8R1A4	0.197140641	0.323677791	Insignificant	0.705223835	-1.627369718	
D0QMC3	0.303092284	0.324054813	Insignificant	0.518425119	-1.625690232	
Q62507	0.345715065	0.326040867	Insignificant	0.461281696	-1.616875285	
Q8C4Y3	0.353366448	0.327666906	Insignificant	0.451774689	-1.609698126	
Q9R069	0.534886946	0.327796014	Insignificant	0.271738001	-1.609129784	
Q8BV49	0.566104153	0.328202892	Insignificant	0.247103659	-1.607340144	
Q9ES97	0.32373334	0.328483166	Insignificant	0.489812571	-1.606108655	
Q8CBE3	0.256307348	0.330436987	Insignificant	0.591238942	-1.597552915	
Q99ME9	0.357720828	0.331449491	Insignificant	0.446455773	-1.593139056	
Q8BPN8	0.576109631	0.3325753	Insignificant	0.239494865	-1.588247071	
Q8K2P2	0.730261717	0.333770001	Insignificant	0.136521466	-1.583073802	
Q9D753	0.128898483	0.335111267	Insignificant	0.889752195	-1.577287904	
P06800	0.402092697	0.339387759	Insignificant	0.395673815	-1.558993564	
Q3UGS4	0.444291956	0.342316098	Insignificant	0.35233155	-1.546598954	
P56212	0.165606637	0.342607478	Insignificant	0.780922262	-1.545371452	
Q9DBG9	0.355852068	0.343560317	Insignificant	0.448730505	-1.541364688	
P07356	0.512825631	0.344029223	Insignificant	0.290030277	-1.539396976	
Q80T19;Q9EQ21	0.762245831	0.345630653	Insignificant	0.117904942	-1.532696922	
P06728	0.226775797	0.345838705	Insignificant	0.644403298	-1.531828758	
Q8BKT7	0.445693987	0.34667657	Insignificant	0.350963225	-1.528337761	
Q8BYW1	0.226775797	0.347033401	Insignificant	0.644403298	-1.526853571	
Q64518	0.784649753	0.350679602	Insignificant	0.105324158	-1.51177458	
Q61753	0.017180001	0.351804208	Down	1.764976816	-1.507155356	
Q3TJD7	0.32373334	0.352567299	Insignificant	0.489812571	-1.504029427	
Q61553	0.240491731	0.353038691	Insignificant	0.618899852	-1.502101792	
Q8VHF2	0.58105466	0.354923428	Insignificant	0.235783012	-1.494420288	
Q61881	0.49346365	0.355679689	Insignificant	0.306744833	-1.491349502	
P70460	0.452873585	0.356296017	Insignificant	0.34402301	-1.488851739	
Q8VDL4	0.055297414	0.356740513	Insignificant	1.257295181	-1.48705303	
Q8K1N2	0.405014985	0.357084467	Insignificant	0.392528909	-1.485662717	
Q9CYK1	0.661621143	0.357871645	Insignificant	0.179390625	-1.482485854	
Q9Z0F4	0.155798543	0.35889996	Insignificant	0.807436608	-1.478346331	
P53986	0.244394102	0.359844912	Insignificant	0.61190928	-1.474552835	
O55102	0.372682908	0.361037177	Insignificant	0.428660524	-1.46978069	
Q4LDD4	0.63262278	0.362180242	Insignificant	0.198855173	-1.465220248	
Q62172	0.735258995	0.362241856	Insignificant	0.133559654	-1.464974841	
Q91VW3	0.442132849	0.362524676	Insignificant	0.354447218	-1.463848896	
P97393	0.376602693	0.364201683	Insignificant	0.424116579	-1.457190508	
Q8BQ47	0.548076313	0.364653337	Insignificant	0.261158967	-1.455402497	
P28867	0.653697187	0.365328258	Insignificant	0.184623384	-1.452734747	
Q9QWK4	0.51940369	0.365600848	Insignificant	0.28449497	-1.451658679	
P08207	0.542533809	0.36575231	Insignificant	0.265573193	-1.451061117	
Q6ZPR6	0.324147455	0.366034913	Insignificant	0.489257384	-1.449946832	
Q3UU96	0.736202878	0.366940177	Insignificant	0.133002489	-1.446383219	
Q4U2R1	0.345715065	0.36732629	Insignificant	0.461281696	-1.444865941	
Q811S7	0.329373	0.36766451	Insignificant	0.482312004	-1.443538173	
P09581	0.305089599	0.367862053	Insignificant	0.515572598	-1.442763231	
Q9JKF1	0.312982953	0.369288885	Insignificant	0.504479316	-1.437178255	
Q9JKV5	0.530856124	0.36979071	Insignificant	0.275023168	-1.435219115	
Q9DA03	0.648444678	0.370411978	Insignificant	0.18812707	-1.432797341	
Q8K012	0.472842496	0.371237128	Insignificant	0.325283499	-1.42958709	
Q8C7V3	0.392873408	0.372905679	Insignificant	0.405747365	-1.423117327	
Q9D2M8	0.2908279	0.373508144	Insignificant	0.536363933	-1.420788394	
O35206	0.491352238	0.373701413	Insignificant	0.308607061	-1.420042078	
P48025	0.678213404	0.374517246	Insignificant	0.168633631	-1.416895939	
A2A8U2	0.39201637	0.375459012	Insignificant	0.406695797	-1.413272675	
Q3TKT4	0.691755831	0.377007983	Insignificant	0.160047171	-1.407333022	
Q9CQZ1	0.475799849	0.377806195	Insignificant	0.3225757	-1.404281735	
Q61878	0.403113541	0.379094461	Insignificant	0.394572613	-1.399370717	
Q9DCE9	0.494510879	0.380264215	Insignificant	0.305824149	-1.394925913	
P29452	0.144976021	0.380666678	Insignificant	0.838703825	-1.393399805	
Q99K85	0.425291463	0.380929324	Insignificant	0.371313335	-1.392404743	
Q8VD75	0.657702253	0.381198384	Insignificant	0.181970671	-1.39138609	
O35074	0.347647096	0.381657422	Insignificant	0.458861394	-1.389649849	
P98086	0.324147455	0.382003027	Insignificant	0.489257384	-1.388344026	
Q9CXD6	0.740525119	0.382217031	Insignificant	0.130460205	-1.387536031	
P31996	0.394945112	0.383616752	Insignificant	0.403463256	-1.382262372	
Q5F2E7	0.376602693	0.384547117	Insignificant	0.424116579	-1.378767718	
O35855	0.779530575	0.384742698	Insignificant	0.108166846	-1.378034147	
P35283	0.155798543	0.386443204	Insignificant	0.807436608	-1.371671699	
Q8BTY2	0.491352238	0.386445562	Insignificant	0.308607061	-1.371662896	
P56371	0.372682908	0.388661042	Insignificant	0.428660524	-1.363415589	
Q9D0B6	0.390785863	0.389399444	Insignificant	0.408061156	-1.360677269	
P18826	0.776060542	0.389979605	Insignificant	0.110104397	-1.35852942	
P70255	0.211262201	0.390002404	Insignificant	0.675178201	-1.35844508	
P02104	0.445693987	0.390707878	Insignificant	0.350963225	-1.355837748	
Q8CHH9	0.481608136	0.391002262	Insignificant	0.317306185	-1.35475114	
P43247	0.753793962	0.39177359	Insignificant	0.122747346	-1.351907949	
Q9CX13	0.54150191	0.391805551	Insignificant	0.266400008	-1.351790256	
O88822	0.626721099	0.392268406	Insignificant	0.202925684	-1.350086951	
Q9QX11	0.445693987	0.392864251	Insignificant	0.350963225	-1.347897201	
Q5H8C4	0.566104153	0.394324362	Insignificant	0.247103659	-1.34254525	
P70399	0.696461123	0.395654124	Insignificant	0.157103121	-1.337688302	
O09005	0.344963335	0.396430558	Insignificant	0.462227062	-1.334859919	
P28033	0.730261717	0.397309036	Insignificant	0.136521466	-1.331666489	
Q9R269	0.444412431	0.397523321	Insignificant	0.352213802	-1.330888596	
Q9DCC8	0.386606298	0.398879072	Insignificant	0.412731075	-1.325976663	
O08992	0.654090836	0.399572106	Insignificant	0.184361935	-1.323472221	
O70250	0.482632461	0.400262648	Insignificant	0.316383472	-1.320981105	
Q8BKE6	0.033907417	0.401585563	Down	1.469705287	-1.316220691	
P57746	0.167974152	0.402929894	Insignificant	0.774757544	-1.311399251	
P25206	0.534886946	0.403052737	Insignificant	0.271738001	-1.310959478	
P62876	0.313803348	0.404291994	Insignificant	0.503342427	-1.306530461	
P13864	0.285535697	0.405292285	Insignificant	0.54433959	-1.302965383	
Q9CZV8	0.695549799	0.405667182	Insignificant	0.157671771	-1.301631499	
Q9CQI7	0.389832703	0.406199151	Insignificant	0.40912173	-1.299740871	
P03987	0.394945112	0.407171313	Insignificant	0.403463256	-1.296292174	
Q9R0E1	0.601375589	0.408089616	Insignificant	0.220854205	-1.293042092	
Q64261	0.435041777	0.40809628	Insignificant	0.361469036	-1.293018534	
Q9D7M8	0.405014985	0.408744404	Insignificant	0.392528909	-1.290729115	
P30681	0.643509209	0.408938284	Insignificant	0.191445234	-1.290044963	
P97452	0.405014985	0.40902747	Insignificant	0.392528909	-1.28973036	
P63254	0.674835419	0.409058594	Insignificant	0.170802131	-1.289620584	
P15379	0.563553001	0.409081719	Insignificant	0.249065233	-1.289539026	
Q8R3N1	0.464006459	0.409530331	Insignificant	0.333475974	-1.287957787	
Q61704	0.522251987	0.410375903	Insignificant	0.282119899	-1.284982075	
Q9ERG2	0.251744743	0.410743017	Insignificant	0.599039591	-1.283692045	
Q9ESJ0	0.450404407	0.411872123	Insignificant	0.346397368	-1.279731613	
Q3UV17	0.329589371	0.412375068	Insignificant	0.482026802	-1.277970985	
Q68FF6	0.646460338	0.412378666	Insignificant	0.189458115	-1.277958398	
Q9D7M1	0.06946406	0.412975901	Insignificant	1.158239836	-1.275870497	
O35744	0.62101055	0.413011415	Insignificant	0.206901022	-1.275746439	
Q9DBL2	0.23768571	0.413531031	Insignificant	0.623996928	-1.273932503	
Q80U19	0.447695254	0.413859591	Insignificant	0.349017509	-1.272786702	
Q9DBS1	0.2262886	0.414543477	Insignificant	0.645337325	-1.270404677	
Q8K224	0.184879084	0.415262633	Insignificant	0.733112219	-1.267904037	
O70370	0.473740009	0.415413879	Insignificant	0.324459936	-1.267378678	
Q91YJ3	0.373408336	0.416940944	Insignificant	0.427815991	-1.262085042	
Q60715	0.835652095	0.417948395	Insignificant	0.077974494	-1.258603274	
P42225	0.317245491	0.4189264	Insignificant	0.498604542	-1.255231292	
Q8CIH5	0.534886946	0.419099835	Insignificant	0.271738001	-1.254634141	
Q3UND0	0.438079986	0.419243484	Insignificant	0.358446587	-1.254139732	
Q80TA1	0.405014985	0.419956473	Insignificant	0.392528909	-1.25168829	
Q8K4M5	0.524355379	0.420146343	Insignificant	0.280374272	-1.251036167	
Q91WF7	0.391200071	0.421490561	Insignificant	0.407601075	-1.246427773	
Q9CRA0	0.347857298	0.421917993	Insignificant	0.458598881	-1.24496548	
Q91ZM2	0.478950996	0.422042094	Insignificant	0.319708919	-1.244541197	
Q63739	0.583577733	0.422197186	Insignificant	0.233901287	-1.244011131	
Q3U4I7	0.402719113	0.423048014	Insignificant	0.394997759	-1.241106685	
Q08093	0.373825547	0.42383352	Insignificant	0.427331023	-1.238430405	
Q6X893	0.814560795	0.424244352	Insignificant	0.089076496	-1.237032641	
Q2L4X1;Q91VK1	0.119773998	0.42507173	Insignificant	0.921637454	-1.234221782	
Q8BVF2	0.399535101	0.425609279	Insignificant	0.39844506	-1.232398489	
P52480	0.376602693	0.427054235	Insignificant	0.424116579	-1.227508793	
Q8C3Q9	0.75129345	0.427714072	Insignificant	0.124190397	-1.225281423	
Q8C0I1	0.0766772	0.428089412	Insignificant	1.115333757	-1.22401594	
Q8K1B8	0.371520352	0.428116751	Insignificant	0.43001739	-1.223923809	
P60824	0.473740009	0.428980796	Insignificant	0.324459936	-1.221015031	
Q9WUB3	0.362722821	0.429491754	Insignificant	0.440425119	-1.219297664	
Q8BK75	0.618790261	0.430803334	Insignificant	0.20845653	-1.214898679	
Q80U78	0.58105466	0.432622597	Insignificant	0.235783012	-1.208819072	
Q8CHS8	0.376602693	0.433559136	Insignificant	0.424116579	-1.205699309	
Q8R519	0.117234726	0.434600424	Insignificant	0.930943728	-1.202238512	
Q8BUB4	0.787172119	0.43494755	Insignificant	0.103930297	-1.201086656	
Q9CZG9	0.109421215	0.435290065	Insignificant	0.960898466	-1.199951003	
Q8R2L5	0.22277058	0.437074074	Insignificant	0.652142164	-1.194050292	
Q8CBW3	0.453795265	0.437169009	Insignificant	0.34314004	-1.193736965	
P82343	0.225760227	0.439254701	Insignificant	0.646352566	-1.186870368	
Q64345	0.087219495	0.439281898	Insignificant	1.059386431	-1.186781045	
P29351	0.294069902	0.440461877	Insignificant	0.531549424	-1.182910937	
Q8C0N2	0.124368138	0.440645321	Insignificant	0.905290869	-1.182310209	
A0A0B4J1G0	0.347647096	0.441046958	Insignificant	0.458861394	-1.180995829	
Q62470	0.176275968	0.442143397	Insignificant	0.753806891	-1.17741375	
Q62383	0.303914679	0.442175687	Insignificant	0.517248323	-1.177308395	
Q9CQA6	0.821646023	0.4424343	Insignificant	0.085315242	-1.176464859	
O70200	0.372682908	0.442697455	Insignificant	0.428660524	-1.175607016	
Q69ZW3	0.770763212	0.443050286	Insignificant	0.113079022	-1.174457642	
Q8C4B4;Q9Z2R6	0.294069902	0.44318323	Insignificant	0.531549424	-1.174024803	
P21460	0.248374128	0.443196564	Insignificant	0.604893645	-1.173981398	
P29788	0.372682908	0.444065093	Insignificant	0.428660524	-1.171156928	
Q8BSQ9	0.904219765	0.444464261	Insignificant	0.043726004	-1.169860677	
Q9EQQ2	0.681025802	0.445586432	Insignificant	0.166836434	-1.166222793	
Q8BVP5;Q8C4X2	0.252341758	0.445605016	Insignificant	0.598010875	-1.166162622	
Q9JM13	0.447695254	0.445659387	Insignificant	0.349017509	-1.165986601	
Q91V09	0.530435303	0.446452813	Insignificant	0.275367579	-1.163420396	
Q9CR51	0.305409143	0.446838458	Insignificant	0.515117966	-1.162174734	
Q9Z0N1	0.294069902	0.447282672	Insignificant	0.531549424	-1.160741225	
P01635	0.611808532	0.447762869	Insignificant	0.213384471	-1.1591932	
P39749	0.549236928	0.44808646	Insignificant	0.26024027	-1.158150961	
Q8BJ56	0.316285135	0.448562325	Insignificant	0.499921219	-1.156619644	
Q80SU7	0.2262886	0.449483827	Insignificant	0.645337325	-1.153658887	
P97797	0.759299782	0.449602881	Insignificant	0.119586725	-1.153276816	
Q9D0C4	0.564342266	0.451412672	Insignificant	0.248457422	-1.147481175	
Q9JJ00	0.472842496	0.451723327	Insignificant	0.325283499	-1.146488679	
P14901	0.497151062	0.452232883	Insignificant	0.303511629	-1.144862198	
Q9CQI6	0.390508058	0.452623737	Insignificant	0.40837	-1.143615848	
O54750	0.457848285	0.453192332	Insignificant	0.339278409	-1.141804642	
Q8CES0	0.585389294	0.453531222	Insignificant	0.232555224	-1.140726224	
Q8R5A3	0.512825631	0.454324528	Insignificant	0.290030277	-1.138204899	
P58466	0.335933289	0.454763172	Insignificant	0.473746958	-1.13681267	
P47915	0.709625836	0.45534568	Insignificant	0.148970581	-1.134965897	
Q9QUJ7	0.018727999	0.455727145	Down	1.727508626	-1.133757787	
Q9D3U0	0.674381738	0.45664268	Insignificant	0.171094198	-1.130862389	
Q6PCM2	0.317291263	0.457451902	Insignificant	0.498541887	-1.128308034	
Q5PRF0	0.285926903	0.457908629	Insignificant	0.54374498	-1.126868342	
Q05512	0.391200071	0.458001153	Insignificant	0.407601075	-1.126576865	
