PG.UniProtIds	NCD1	NCD2	NCD3	NCD4	HFD1	HFD2	HFD3	HFD4	HFDLEA1	HFDLEA2	HFDLEA3	HFDLEA4
P12382	342.0145874	351.1983337	332.5335388	326.9538269	305.8922729	393.9157715	378.0848694	447.5758972	343.5452881	445.9299927	366.2720337	395.0696411
P12710	272935.4375	227508.0469	235678.9063	309755.9063	324135.875	315119.125	344177.2813	397287.5	371665.75	396534.3125	318544.75	382222.875
P12787	26636.12109	23103.17773	17652.8125	22398.82813	18959.71875	19760.66992	17440.07617	17724.7793	19168.98242	21292.11719	19777.84961	18194.53906
P12791	138.1649017	247.2079315	130.8077545	207.9394379	197.9186249	90.60247803	48.47702408	114.1964035	122.6029892	102.9381943	111.7053833	44.37358475
P12815	1170.581665	1478.025269	1276.164795	1251.827148	1134.85437	1051.903687	1155.908813	1264.139771	1258.286499	1361.601807	1328.036621	1174.040771
P12970	6598.05127	7031.935059	8575.227539	7031.230957	7723.521973	7358.634277	7314.806152	7851.033203	6753.085449	6911.573242	7262.231934	7766.776367
P13020	398.0482788	540.9388428	472.9661255	458.3315125	422.5961609	398.4450684	334.9591675	393.2607727	406.9407349	505.1362	411.3876648	451.2416992
P13412	0	190.7668915	69.90898895	0	0	0	0	0	0	0	0	0
P13439	358.1999512	398.5061646	392.6221619	401.9711609	382.4836731	325.947937	339.8813477	305.8492432	313.6982422	343.1371155	245.8953247	360.554718
P13516	885.354187	716.5482178	770.4447632	837.1412354	1942.946045	1725.784302	734.1369019	750.1104126	2088.356201	3114.495605	1751.919922	739.0432739
P13597	348.6305237	416.3298645	536.3823853	468.5900574	479.1314087	489.4190674	506.8537292	424.8629456	369.815979	420.9059448	355.8991089	381.3990173
P13634	936.6359253	1130.574951	1287.010986	925.9661865	683.0234375	906.3634644	653.5301514	733.487915	973.293396	1399.310669	920.2002563	1048.515503
P13707	7364.694824	6419.213379	9260.892578	6752.527832	9872.742188	10419.14453	10685.28906	11957.05957	9365.538086	7760.352539	7201.101563	8710.886719
P13745	36135.37109	38023.37891	42799.33594	37959.33984	46829.14063	22763.68359	45711.47656	17158.82227	23225.34766	22725.61328	23832.04492	19533.1875
P14069	141.9930115	286.589447	261.3972778	154.9976501	574.4053955	318.3417664	11.76355648	125.5872421	87.10781097	164.9662476	94.83933258	269.8066101
